gene_name   gene_ID
HRP2	PF3D7_0831800
HRP3	PF3D7_1372200
DBLMSP	PF3D7_1035700
DBLMSP2	PF3D7_1036300
SURF4.2	PF3D7_0424400
LSA1	PF3D7_1036400
LSA3	PF3D7_0220000
CSP	PF3D7_0304600
MSP1	PF3D7_0930300
MSP2	PF3D7_0206800
MSP3	PF3D7_1035400
MSP4	PF3D7_0207000
MSP5	PF3D7_0206900
MSP6	PF3D7_1035500
MSP7	PF3D7_1335100
TRAP	PF3D7_1335900
AMA1	PF3D7_1133400
RAMA	PF3D7_0707300
EBA175	PF3D7_0731500
RH5	PF3D7_0424100
GLURP	PF3D7_1035300
SERA5	PF3D7_0207600
CelTOS	PF3D7_1216600
P48/45	PF3D7_1346700
Pfs25	PF3D7_1031000
