Sample	Fws
FP0008-C	0.8192563
FP0009-C	0.9983369
FP0010-CW	0.80300426
FP0011-CW	0.74074274
FP0012-CW	0.9965288
FP0013-CW	0.9951657
FP0014-CW	0.7043844
FP0015-C	0.93059367
FP0016-C	0.93978846
FP0017-C	0.87542343
FP0018-C	0.9992533
FP0019-CW	0.9933471
FP0020-C	0.99717903
FP0021-C	0.9983305
FP0022-C	0.9982191
FP0023-C	0.9992939
FP0024-C	0.9662019
FP0025-C	0.5865606
FP0028-C	0.9971896
FP0029-C	0.9999106
FP0030-C	0.9946873
FP0031-C	0.9947029
FP0032-C	0.99756604
FP0033-C	0.9946304
FP0034-C	0.69016594
FP0035-C	1.0
FP0037-CW	0.82385135
FP0038-C	0.9990061
FP0039-C	0.62108713
FP0040-C	0.8030633
FP0041-C	0.93203974
FP0042-C	0.4690113
FP0043-C	0.87759703
FP0044-C	0.6052527
FP0045-CW	0.6171351
FP0046-C	0.5625059
FP0047-C	0.99844307
FP0048-C	0.9978868
FP0050-CW	0.9988513
FP0051-C	0.453976
FP0052-C	0.9985917
FP0054-C	0.997879
FP0055-C	0.5664773
FP0056-C	0.56817484
FP0057-C	0.9974929
FP0058-C	0.60393596
FP0059-C	0.9972462
FP0061-C	0.99991184
FP0062-C	0.9979356
FP0063-C	0.4562168
FP0065-C	0.9979316
FP0066-C	0.99760103
FP0067-C	0.9978393
FP0068-C	0.9971235
FP0069-C	0.9986576
FP0073-C	0.9972593
FP0075-CW	0.81560713
FP0076-CW	0.9914783
FP0077-C	0.854764
FP0078-C	0.99529964
FP0081-C	0.99676013
FP0082-C	0.51402384
FP0083-CW	0.98100615
FP0084-C	0.826081
FP0089-C	0.9942648
FP0090-C	0.9867579
FP0092-C	0.99635756
FP0093-C	0.9948212
FP0094-CW	0.9599459
FP0095-C	0.9889637
FP0096-C	0.9979778
FP0097-C	0.801647
FP0098-C	0.99680805
FP0099-CW	0.9568846
FP0100-CW	0.77300864
FP0101-C	0.73300403
FP0102-C	0.9975852
FP0103-C	0.9952478
FP0105-C	0.7826922
FP0112-C	0.9985119
FP0113-C	0.9899453
FP0114-C	0.6244017
FP0116-C	0.4520492
FP0117-C	0.67516375
FP0119-C	0.98891443
FP0120-C	0.78080696
FP0123-C	0.9552595
FP0127-C	0.8419846
FP0129-C	0.90776753
FP0132-CW	0.8620837
FP0133-CW	0.9083289
FP0136-C	0.964231
PA0007-C	0.99468625
PA0008-C	0.37190154
PA0011-C	0.99801326
PA0012-C	0.9949373
PA0013-C	0.9946821
PA0014-C	0.99575466
PA0015-C	0.9977961
PA0016-C	0.99938977
PA0017-C	0.99887383
PA0018-C	0.9958324
PA0020-C	0.9999025
PA0021-C	0.6348167
PA0022-C	0.9970802
PA0026-C	0.9974371
PA0027-C	0.76446134
PA0028-C	0.99571526
PA0029-C	0.9960208
PA0030-C	0.31873173
PA0032-C	0.9959841
PA0034-C	0.99778455
PA0035-C	0.9954878
PA0036-C	0.998471
PA0037-C	0.99505025
PA0038-C	0.9970723
PA0039-C	0.83201736
PA0040-C	0.85160697
PA0041-C	0.8395187
PA0042-C	0.99906695
PA0044-C	0.9391575
PA0045-C	0.9995982
PA0046-C	0.99760157
PA0047-C	0.99240476
PA0049-C	0.99860394
PA0050-C	0.98196465
PA0051-C	0.99903274
PA0052-C	0.63629913
PA0053-C	0.62971205
PA0054-C	0.9973499
PA0057-C	0.99654096
PA0060-C	0.9975374
PA0061-C	0.5520735
PA0063-C	0.99706596
PA0064-C	0.95779413
PA0065-C	0.9974396
PA0066-C	0.9962203
PA0067-C	0.9952907
PA0068-C	0.96603113
PA0069-C	0.9311886
PA0071-C	0.99822795
PA0072-C	0.9998135
PA0073-C	0.9979832
PA0074-C	1.0
PA0075-C	0.9949721
PA0078-C	0.99680436
PA0081-C	0.99561036
PA0084-C	0.6685552
PA0085-C	0.79851735
PA0087-C	0.99811137
PA0089-C	0.9968061
PA0091-C	0.9961667
PA0092-C	0.94842535
PA0093-C	0.99940085
PA0094-C	0.8344004
PA0095-C	0.49671593
PA0097-C	0.99489224
PA0098-C	0.9158677
PA0099-C	0.9999136
PA0100-C	0.99437124
PA0101-C	0.99999213
PA0102-C	0.9834845
PA0103-C	0.99631536
PA0104-C	0.99916995
PA0105-C	0.90539646
PA0134-C	0.985299
PA0135-C	0.32387197
PA0136-C	0.9960903
PA0137-C	0.9899079
PA0138-C	0.23516347
PA0140-C	0.96788657
PA0141-C	0.99403524
PA0142-C	0.6769517
PA0144-C	1.0
PA0145-C	0.52433187
PA0146-C	0.3699705
PA0147-C	0.36528742
PA0148-C	0.9411612
PA0149-C	0.9950167
PA0150-C	0.9952982
PA0151-C	0.99807906
PA0152-C	0.99932617
PA0153-C	0.70956045
PA0155-C	0.41505063
PA0156-C	0.93341553
PA0157-C	0.9958037
PA0158-C	0.99604005
PA0159-C	0.9973175
PA0160-C	0.41227943
PA0161-C	0.9989033
PA0162-C	0.78212005
PA0163-C	0.60351443
PA0164-C	0.9960775
PA0165-C	0.99777013
PA0167-C	0.9980137
PA0168-C	0.9940261
PA0169-C	0.9974982
PA0171-C	0.7450474
PA0172-C	0.99484944
PA0173-C	0.99433
PA0175-C	0.8200188
PA0176-C	0.99868405
PA0177-C	0.90378815
PA0178-C	0.83195186
PA0179-C	0.61075044
