Sample	Cross	Clone	Accession
PG0051-C	3d7_hb3	3D7	ERR019061
PG0065-C	3d7_hb3	C01	ERR019064
PG0062-C	3d7_hb3	C01	ERR019070
PG0055-C	3d7_hb3	C02	ERR019066
PG0053-C	3d7_hb3	C02	ERR019067
PG0056-C	3d7_hb3	C02	ERR019068
PG0067-C	3d7_hb3	C02	ERR019073
PG0066-C	3d7_hb3	C03	ERR019072
PG0061-C	3d7_hb3	C04	ERR019059
PG0068-C	3d7_hb3	C05	ERR019065
PG0069-C	3d7_hb3	C06	ERR019055
PG0070-C	3d7_hb3	C07	ERR019056
PG0071-C	3d7_hb3	C08	ERR019074
PG0072-C	3d7_hb3	C09	ERR019057
PG0063-C	3d7_hb3	C10	ERR019060
PG0064-C	3d7_hb3	C11	ERR019071
PG0058-C	3d7_hb3	C12	ERR019063
PG0054-C	3d7_hb3	C13	ERR019062
PG0060-C	3d7_hb3	C14	ERR019058
PG0057-C	3d7_hb3	C15	ERR019069
PG0052-C	3d7_hb3	HB3	ERR019054
PG0083-C	7g8_gb4	7G8	ERR027099
PG0103-CW	7g8_gb4	AL2	ERR045627
PG0112-C	7g8_gb4	AUD	ERR029406
PG0112-CW	7g8_gb4	AUD	ERR045639
PG0094-CW	7g8_gb4	D2	ERR045632
PG0098-C	7g8_gb4	DAN	ERR027110
PG0081-CW	7g8_gb4	DEV	ERR045633
PG0084-C	7g8_gb4	GB4	ERR027100
PG0099-C	7g8_gb4	JB12	ERR029146
PG0087-C	7g8_gb4	JB8	ERR029091
PG0077-CW	7g8_gb4	JC3	ERR045636
PG0111-C	7g8_gb4	JC9	ERR029409
PG0111-CW	7g8_gb4	JC9	ERR045634
PG0100-C	7g8_gb4	JE11	ERR029404
PG0100-CW	7g8_gb4	JE11	ERR045630
PG0079-C	7g8_gb4	JF6	ERR027102
PG0079-CW	7g8_gb4	JF6	ERR045637
PG0107-C	7g8_gb4	JON	ERR029408
PG0091-C	7g8_gb4	KA6	ERR027117
PG0104-C	7g8_gb4	KB8	ERR029148
PG0104-CW	7g8_gb4	KB8	ERR045642
PG0088-C	7g8_gb4	KH7	ERR027111
PG0086-C	7g8_gb4	LA10	ERR029090
PG0086-CW	7g8_gb4	LA10	ERR045629
PG0096-C	7g8_gb4	NF10	ERR027108
PG0095-C	7g8_gb4	NIC	ERR027107
PG0095-CW	7g8_gb4	NIC	ERR045631
PG0078-C	7g8_gb4	QF5	ERR029092
PG0078-CW	7g8_gb4	QF5	ERR045638
PG0080-C	7g8_gb4	TF1	ERR027103
PG0082-C	7g8_gb4	WC4	ERR029093
PG0085-C	7g8_gb4	WE2	ERR027101
PG0097-C	7g8_gb4	WF12	ERR027109
PG0093-C	7g8_gb4	XB3	ERR029105
PG0105-C	7g8_gb4	XD8	ERR029144
PG0105-CW	7g8_gb4	XD8	ERR045628
PG0106-C	7g8_gb4	XE7	ERR029407
PG0102-C	7g8_gb4	XF12	ERR029143
PG0102-CW	7g8_gb4	XF12	ERR045635
PG0109-C	7g8_gb4	XG10	ERR029405
PG0023-C	hb3_dd2	1BB5	ERR015449
PG0022-Cx	hb3_dd2	3BA6	ERR126027
PG0024-C	hb3_dd2	3BD5	ERR019053
PG0074-C	hb3_dd2	7C101	ERR019048
PG0038-C	hb3_dd2	7C111	ERR015457
PG0035-Cx	hb3_dd2	7C12	ERR037704
PG0047-C	hb3_dd2	7C126	ERR015452
PG0039-C	hb3_dd2	7C140	ERR015454
PG0040-Cx	hb3_dd2	7C159	ERR107475
PG0036-C	hb3_dd2	7C16	ERR015455
PG0041-C	hb3_dd2	7C170	ERR015446
