Sample	Fws
FP0008-C	0.81835014
FP0009-C	0.99714065
FP0015-C	0.9283130999999999
FP0016-C	0.9416369000000001
FP0017-C	0.87527215
FP0018-C	0.99752903
FP0020-C	0.99314535
FP0021-C	0.99256945
FP0022-C	0.99266344
FP0023-C	0.9905923000000001
FP0024-C	0.96519285
FP0025-C	0.5830603
FP0028-C	0.9959394
FP0029-C	0.9984377000000001
FP0030-C	0.9860774999999999
FP0031-C	0.98961174
FP0032-C	0.9930424999999999
FP0033-C	0.9883039
FP0034-C	0.6890585
FP0035-C	0.9984335999999999
FP0038-C	0.99098843
FP0039-C	0.6339583000000001
FP0040-C	0.80265945
FP0041-C	0.92707145
FP0042-C	0.46302748
FP0043-C	0.87677145
FP0044-C	0.60719013
FP0046-C	0.56456256
FP0047-C	0.9967156999999999
FP0048-C	0.99091953
FP0051-C	0.4577335
FP0052-C	0.9978325000000001
FP0054-C	0.98723364
FP0055-C	0.5624505999999999
FP0056-C	0.56184244
FP0057-C	0.9948823
FP0058-C	0.5979576
FP0059-C	0.99440736
FP0061-C	0.99872154
FP0062-C	0.99688697
FP0063-C	0.45960838
FP0065-C	0.9969319
FP0066-C	0.99504334
FP0067-C	0.9964322
FP0068-C	0.9899278
FP0069-C	0.996267
FP0073-C	0.9962905000000001
FP0077-C	0.8559629000000001
FP0078-C	0.9888821
FP0081-C	0.9926606
FP0082-C	0.50477785
FP0084-C	0.8311196
FP0089-C	0.9888568999999999
FP0090-C	0.98144287
FP0092-C	0.9904661
FP0093-C	0.9885489
FP0095-C	0.983533
FP0096-C	0.99705607
FP0097-C	0.79801524
FP0098-C	0.99257815
FP0101-C	0.7353115
FP0102-C	0.99708813
FP0103-C	0.9932707000000001
FP0105-C	0.79164964
FP0112-C	0.99773556
FP0113-C	0.9846636999999999
FP0114-C	0.6312227
FP0116-C	0.46278244
FP0117-C	0.6728111999999999
FP0119-C	0.98200506
FP0120-C	0.77817744
FP0123-C	0.95221347
FP0127-C	0.8365549000000001
FP0129-C	0.90354073
FP0132-C	0.9723546999999999
FP0136-C	0.96048695
PA0007-C	0.9888795
PA0008-C	0.38279405
PA0011-C	0.9969769
PA0012-C	0.9881523999999999
PA0013-C	0.9857226
PA0014-C	0.98727536
PA0015-C	0.99462837
PA0016-C	0.99492663
PA0017-C	0.99443996
PA0018-C	0.98641735
PA0020-C	0.9946527000000001
PA0021-C	0.6376608
PA0022-C	0.9936978000000001
PA0026-C	0.99211824
PA0027-C	0.757732
PA0028-C	0.991627
PA0029-C	0.9899629999999999
PA0030-C	0.31977388
PA0032-C	0.98348814
PA0034-C	0.99226075
PA0035-C	0.9896456
PA0036-C	0.99526495
PA0037-C	0.98643285
PA0038-C	0.99394685
PA0039-C	0.82226473
PA0040-C	0.84897757
PA0041-C	0.8419161000000001
PA0042-C	0.994151
PA0044-C	0.92940485
PA0045-C	0.99626243
PA0046-C	0.99137723
PA0047-C	0.9900725
PA0049-C	0.9909954
PA0050-C	0.9746111999999999
PA0051-C	0.99676335
PA0052-C	0.6384052
PA0053-C	0.62825996
PA0054-C	0.9940349
PA0057-C	0.98866934
PA0060-C	0.9967116
PA0061-C	0.5568069999999999
PA0063-C	0.9937935999999999
PA0064-C	0.9571578000000002
PA0065-C	0.9934921
PA0066-C	0.9911377
PA0067-C	0.9931684999999999
PA0068-C	0.9590779
PA0069-C	0.92129654
PA0071-C	0.9977654
PA0072-C	0.9950578000000001
PA0073-C	0.9979808000000001
PA0074-C	0.9950954
PA0075-C	0.991258
PA0078-C	0.9897391999999999
PA0081-C	0.9938773000000001
PA0084-C	0.6704996999999999
PA0085-C	0.7915428000000001
PA0087-C	0.9974755999999999
