Sample	Reason
PM0006-C	ENA_SomeReadsNotPaired
PM0007-C	ENA_SomeReadsNotPaired
PM0008-C	ENA_SomeReadsNotPaired
PN0002-C	ENA_SomeReadsNotPaired
PJ0158-C	ENA_AccessionUnrecognised
PA0582-C	Varcall_CortexTooMuchMemory
PF0639-C	Varcall_CortexTooLowCoverage
PA0867-CW	Varcall_CortexSamtoolsNoVariantsCalled
PD0004-03	Varcall_CortexSamtoolsNoVariantsCalled
PC0003-02	Varcall_CortexSamtoolsNoVariantsCalled
PD0014-01	Varcall_CortexSamtoolsNoVariantsCalled
PD0019-C	Varcall_CortexSamtoolsNoVariantsCalled
PC0048-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0007-01	Varcall_CortexSamtoolsNoVariantsCalled
PC0012-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0010-01	Varcall_CortexSamtoolsNoVariantsCalled
PN0012-C	Varcall_CortexSamtoolsNoVariantsCalled
PC0002-C	Varcall_CortexSamtoolsNoVariantsCalled
PN0006-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0039-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0017-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0023-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0010-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0015-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0005-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0005-C	Varcall_CortexSamtoolsNoVariantsCalled
PN0011-C	Varcall_CortexSamtoolsNoVariantsCalled
PC0011-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0005-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0020-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0003-C	Varcall_CortexSamtoolsNoVariantsCalled
PN0009-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0013-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0003-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0018-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0006-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0008-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0001-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0008-02	Varcall_CortexSamtoolsNoVariantsCalled
PC0013-C	Varcall_CortexSamtoolsNoVariantsCalled
PC0004-01	Varcall_CortexSamtoolsNoVariantsCalled
PD0015-02	Varcall_CortexSamtoolsNoVariantsCalled
PD0004-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0040-C	Varcall_CortexSamtoolsNoVariantsCalled
PC0007-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0018-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0009-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0016-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0011-01	Varcall_CortexSamtoolsNoVariantsCalled
PC0003-01	Varcall_CortexSamtoolsNoVariantsCalled
PH0011-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0003-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0001-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0022-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0014-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0004-C	Varcall_CortexSamtoolsNoVariantsCalled
PN0010-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0006-01	Varcall_CortexSamtoolsNoVariantsCalled
PN0007-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0002-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0017-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0019-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0012-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0002-C	Varcall_CortexSamtoolsNoVariantsCalled
PM0014-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0007-C	Varcall_CortexSamtoolsNoVariantsCalled
PH0009-C	Varcall_CortexSamtoolsNoVariantsCalled
PN0003-C	Varcall_CortexSamtoolsNoVariantsCalled
PN0005-C	Varcall_CortexSamtoolsNoVariantsCalled
PC0004-02	Varcall_CortexSamtoolsNoVariantsCalled
PC0001-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0016-C	Varcall_CortexSamtoolsNoVariantsCalled
PD0005-01	Varcall_CortexSamtoolsNoVariantsCalled
