Sample	Study	Site	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
PF0004-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR021976	PF0004-C	WAF	80.61	True	Analysis_set	False
PF0006-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR199977	PF0006-C	WAF	81.39	True	Analysis_set	False
PF0008-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR211566	PF0008-C	WAF	86.24	True	Analysis_set	False
PF0009-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR015363	PF0009-C	WAF	74.13	True	Analysis_set	False
PF0010-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR015349	PF0010-C	WAF	73.26	True	Analysis_set	False
PF0011-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR015326	PF0011-C	WAF	72.07	True	Analysis_set	False
PF0012-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR211556	PF0012-C	WAF	88.26	True	Analysis_set	False
PF0016-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR023682	PF0016-C	WAF	79.7	True	Analysis_set	False
PF0020-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR199978	PF0020-C	WAF	77.89	True	Analysis_set	False
PF0021-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR015316	PF0021-C	WAF	69.97	True	Analysis_set	False
PF0022-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR018949	PF0022-C	WAF	90.09	True	Analysis_set	False
PF0024-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR018942	PF0024-C	WAF	89.68	True	Analysis_set	False
PF0025-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR015405	PF0025-C	WAF	65.7	True	Analysis_set	False
PF0026-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR015356	PF0026-C	WAF	63.38	True	Analysis_set	False
PF0027-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR211523	PF0027-C	WAF	68.76	True	Analysis_set	False
PF0028-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR015351	PF0028-C	WAF	70.43	True	Analysis_set	False
PF0029-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR020110	PF0029-C	WAF	90.43	True	Analysis_set	False
PF0030-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR199970	PF0030-C	WAF	88.8	True	Analysis_set	False
PF0033-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR199971	PF0033-C	WAF	86.29	True	Analysis_set	False
PF0035-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR018970	PF0035-C	WAF	89.8	True	Analysis_set	False
PF0036-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR018965	PF0036-C	WAF	89.89	True	Analysis_set	False
PF0037-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR263689	PF0037-C	WAF	85.72	True	Analysis_set	False
PF0038-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR018935	PF0038-C	WAF	89.1	True	Analysis_set	False
PF0039-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR036154,ERR023662	PF0039-C	WAF	83.91	True	Analysis_set	False
PF0040-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR020106	PF0040-C	WAF	85.22	True	Analysis_set	False
