Sample	Study	Site	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
PH0556-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	12.372197	103.633575	2011	ERR123814	PH0556-C	ESEA	87.68	True	Analysis_set	False
PT0070-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR114368	PT0070-C	EAF	90.62	True	Analysis_set	False
QC0171-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2011	ERR180056	QC0171-C	WSEA	90.18	True	Analysis_set	False
PA0073-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019850	PA0073-C	WAF	87.9	True	Analysis_set	False
PH0382-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039231	PH0382-C	ESEA	89.62	True	Analysis_set	False
PF0441-CW	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2011	ERR043311	PF0441-CW	WAF	89.05	True	Analysis_set	False
PH0647-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR123895	PH0647-C	ESEA	89.73	True	Analysis_set	False
QE0393-Cx	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR388787	QE0393-Cx	ESEA	89.91	True	Analysis_set	False
PF0347-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR039944	PF0347-C	WAF	90.01	True	Analysis_set	False
PH0381-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039230	PH0381-C	ESEA	89.76	True	Analysis_set	False
PA0137-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055487	PA0137-C	WAF	89.72	True	Analysis_set	False
PF0266-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR490341	PF0266-C	WAF	80.13	True	Analysis_set	False
PD0504-C	1052-PF-TRAC-WHITE	Ranong	Thailand	9.998606	98.700714	2011	ERR164694	PD0504-C	WSEA	90.4	True	Analysis_set	False
QE0397-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR175512	QE0397-C	ESEA	87.91	True	Analysis_set	False
QC0209-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2012	ERR246573	QC0209-C,QC0209-Cx	WSEA	88.15	True	Analysis_set	False
PR0131-C	1052-PF-TRAC-WHITE	Ramu	Bangladesh	21.43199	92.101	2012	ERR404251	PR0131-C	SAS	79.07	True	Analysis_set	False
PD0522-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2012	ERR216507	PD0522-C	WSEA	89.83	True	Analysis_set	False
