Sample	Study	Site	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
PA0007-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018933	PA0007-C	WAF	77.37	True	Analysis_set	False
PA0011-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015410	PA0011-C	WAF	89.55	True	Analysis_set	False
PA0015-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015429	PA0015-C	WAF	89.55	True	Analysis_set	False
PA0016-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015338	PA0016-C	WAF	89.93	True	Analysis_set	False
PA0018-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015341	PA0018-C	WAF	89.72	True	Analysis_set	False
PA0022-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018937	PA0022-C	WAF	82.48	True	Analysis_set	False
PA0029-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015381	PA0029-C	WAF	89.94	True	Analysis_set	False
PA0032-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020113	PA0032-C	WAF	89.56	True	Analysis_set	False
PA0037-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015439	PA0037-C	WAF	89.53	True	Analysis_set	False
PA0038-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018944	PA0038-C	WAF	89.49	True	Analysis_set	False
PA0042-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020109	PA0042-C	WAF	89.05	True	Analysis_set	False
PA0044-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018946	PA0044-C	WAF	89.96	True	Analysis_set	False
PA0045-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018947	PA0045-C	WAF	89.71	True	Analysis_set	False
PA0047-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023680	PA0047-C	WAF	82.93	True	Analysis_set	False
PA0049-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018929	PA0049-C	WAF	89.64	True	Analysis_set	False
PA0050-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018959	PA0050-C	WAF	89.75	True	Analysis_set	False
PA0065-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018952	PA0065-C	WAF	89.32	True	Analysis_set	False
PA0068-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019543	PA0068-C	WAF	89.29	True	Analysis_set	False
PA0078-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018976	PA0078-C	WAF	87.73	True	Analysis_set	False
PA0087-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023466	PA0087-C	WAF	81.18	True	Analysis_set	False
PA0091-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019546	PA0091-C	WAF	89.26	True	Analysis_set	False
PA0092-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018926	PA0092-C	WAF	87.43	True	Analysis_set	False
PA0098-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018977	PA0098-C	WAF	89.59	True	Analysis_set	False
PA0099-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018953	PA0099-C	WAF	89.01	True	Analysis_set	False
PA0100-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018979	PA0100-C	WAF	88.52	True	Analysis_set	False
PA0101-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019548	PA0101-C	WAF	89.14	True	Analysis_set	False
PA0140-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055468	PA0140-C	WAF	86.44	True	Analysis_set	False
PA0144-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063550	PA0144-C	WAF	90.16	True	Analysis_set	False
PA0152-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055493	PA0152-C	WAF	89.42	True	Analysis_set	False
PA0167-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR059407	PA0167-C	WAF	90.56	True	Analysis_set	False
PA0172-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063596	PA0172-C	WAF	90.42	True	Analysis_set	False
PA0182-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055503	PA0182-C	WAF	88.31	True	Analysis_set	False
PA0183-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055492	PA0183-C	WAF	89.89	True	Analysis_set	False
PA0187-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR059403	PA0187-C	WAF	90.5	True	Analysis_set	False
PA0201-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063531	PA0201-C	WAF	90.14	True	Analysis_set	False
PA0202-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063613	PA0202-C	WAF	90.36	True	Analysis_set	False
PA0211-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR059409	PA0211-C	WAF	90.49	True	Analysis_set	False
PA0219-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063557	PA0219-C	WAF	90.28	True	Analysis_set	False
PA0229-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR059392	PA0229-C	WAF	90.32	True	Analysis_set	False
PA0270-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063553	PA0270-C	WAF	90.15	True	Analysis_set	False
PD0459-Cx	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2011	ERR388738	PD0459-Cx	WSEA	89.08	True	Analysis_set	False
