Sample	Study	Site	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
FP0008-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081237	FP0008-C	WAF	82.16	True	Analysis_set	False
FP0009-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081238	FP0009-C	WAF	88.85	True	Analysis_set	False
FP0015-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081239	FP0015-C	WAF	88.45	True	Analysis_set	False
FP0016-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081240	FP0016-C	WAF	59.83	True	Analysis_set	False
FP0017-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081241	FP0017-C	WAF	89.02	True	Analysis_set	False
FP0018-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081242	FP0018-C	WAF	89.05	True	Analysis_set	False
FP0020-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081243	FP0020-C	WAF	86.88	True	Analysis_set	False
FP0021-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081244	FP0021-C	WAF	89.7	True	Analysis_set	False
FP0022-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081245	FP0022-C	WAF	88.61	True	Analysis_set	False
FP0023-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081246	FP0023-C	WAF	85.46	True	Analysis_set	False
FP0024-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081247	FP0024-C	WAF	82.0	True	Analysis_set	False
FP0025-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081248	FP0025-C	WAF	86.57	True	Analysis_set	False
FP0026-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1099208	FP0026-C	WAF	0.45	False	Less_than_50pc_callable	False
FP0027-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1099209	FP0027-C	WAF	0.63	False	Less_than_50pc_callable	False
FP0028-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1099210	FP0028-C	WAF	90.21	True	Analysis_set	False
FP0029-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1099211	FP0029-C	WAF	88.73	True	Analysis_set	False
FP0030-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1099212	FP0030-C	WAF	89.76	True	Analysis_set	False
FP0031-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1099213	FP0031-C	WAF	82.81	True	Analysis_set	False
FP0032-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081249	FP0032-C	WAF	88.59	True	Analysis_set	False
FP0033-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081250	FP0033-C	WAF	87.55	True	Analysis_set	False
FP0034-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081251	FP0034-C	WAF	78.26	True	Analysis_set	False
FP0035-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081252	FP0035-C	WAF	88.45	True	Analysis_set	False
FP0038-C	1147-PF-MR-CONWAY	Kobeni	Mauritania	15.82083	-9.4145	2014	ERR1081253	FP0038-C	WAF	89.49	True	Analysis_set	False
FP0039-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1081254	FP0039-C	WAF	89.88	True	Analysis_set	False
FP0040-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1099214	FP0040-C	WAF	88.98	True	Analysis_set	False
FP0041-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1081255	FP0041-C	WAF	87.85	True	Analysis_set	False
FP0042-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1081256	FP0042-C	WAF	77.87	True	Analysis_set	False
FP0043-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1081257	FP0043-C	WAF	79.98	True	Analysis_set	False
FP0044-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1099215	FP0044-C	WAF	89.86	True	Analysis_set	False
FP0046-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1081258	FP0046-C	WAF	90.54	True	Analysis_set	False
FP0047-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1081259	FP0047-C	WAF	83.84	True	Analysis_set	False
FP0048-C	1147-PF-MR-CONWAY	Aioun	Mauritania	16.662907999999998	-9.6036465	2014	ERR1081260	FP0048-C	WAF	85.87	True	Analysis_set	False
FP0051-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081261	FP0051-C	WAF	87.45	True	Analysis_set	False
FP0052-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081262	FP0052-C	WAF	86.22	True	Analysis_set	False
FP0054-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081263	FP0054-C	WAF	88.21	True	Analysis_set	False
FP0055-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081264	FP0055-C	WAF	88.95	True	Analysis_set	False
FP0056-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081265	FP0056-C	WAF	88.55	True	Analysis_set	False
FP0057-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081266	FP0057-C	WAF	86.43	True	Analysis_set	False
FP0058-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081267	FP0058-C	WAF	88.87	True	Analysis_set	False
FP0059-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081268	FP0059-C	WAF	88.34	True	Analysis_set	False
FP0061-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081269	FP0061-C	WAF	88.42	True	Analysis_set	False
FP0062-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081270	FP0062-C	WAF	86.86	True	Analysis_set	False
FP0063-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081271	FP0063-C	WAF	87.29	True	Analysis_set	False
FP0064-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081272	FP0064-C	WAF	24.65	False	Less_than_50pc_callable	False
FP0065-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081273	FP0065-C	WAF	88.98	True	Analysis_set	False
FP0066-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081274	FP0066-C	WAF	87.96	True	Analysis_set	False
FP0067-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081275	FP0067-C	WAF	89.62	True	Analysis_set	False
FP0068-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081276	FP0068-C	WAF	89.26	True	Analysis_set	False
FP0069-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081277	FP0069-C	WAF	88.82	True	Analysis_set	False
FP0070-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081278	FP0070-C	WAF	39.9	False	Less_than_50pc_callable	False
FP0073-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081279	FP0073-C	WAF	69.28	True	Analysis_set	False
FP0077-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081280	FP0077-C	WAF	83.11	True	Analysis_set	False
FP0078-C	1147-PF-MR-CONWAY	Selibaby	Mauritania	15.15874	-12.34639	2014	ERR1081281	FP0078-C	WAF	88.77	True	Analysis_set	False
FP0081-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1081282	FP0081-C	WAF	77.8	True	Analysis_set	False
FP0082-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1081283	FP0082-C	WAF	86.68	True	Analysis_set	False
FP0084-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1081284	FP0084-C	WAF	88.36	True	Analysis_set	False
FP0089-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1081285	FP0089-C	WAF	88.09	True	Analysis_set	False
FP0090-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1081286	FP0090-C	WAF	74.71	True	Analysis_set	False
FP0092-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1081287	FP0092-C	WAF	88.98	True	Analysis_set	False
FP0093-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106549	FP0093-C	WAF	89.97	True	Analysis_set	False
FP0095-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106550	FP0095-C	WAF	90.17	True	Analysis_set	False
FP0096-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106551	FP0096-C	WAF	89.53	True	Analysis_set	False
FP0097-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106552	FP0097-C	WAF	90.19	True	Analysis_set	False
FP0098-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106553	FP0098-C	WAF	89.48	True	Analysis_set	False
FP0101-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106554	FP0101-C	WAF	89.94	True	Analysis_set	False
FP0102-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1099217	FP0102-C	WAF	75.51	True	Analysis_set	False
FP0103-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106556	FP0103-C	WAF	85.79	True	Analysis_set	False
FP0105-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106557	FP0105-C	WAF	89.93	True	Analysis_set	False
FP0106-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106558	FP0106-C	WAF	0.0	False	Less_than_50pc_callable	False
FP0109-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106559	FP0109-C	WAF	38.97	False	Less_than_50pc_callable	False
FP0110-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106560	FP0110-C	WAF	0.01	False	Less_than_50pc_callable	False
FP0112-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106561	FP0112-C	WAF	88.69	True	Analysis_set	False
FP0113-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106562	FP0113-C	WAF	53.91	True	Analysis_set	False
FP0114-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106563	FP0114-C	WAF	90.47	True	Analysis_set	False
FP0116-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106564	FP0116-C	WAF	84.76	True	Analysis_set	False
FP0117-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106565	FP0117-C	WAF	83.62	True	Analysis_set	False
FP0119-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106566	FP0119-C	WAF	89.74	True	Analysis_set	False
FP0120-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106567	FP0120-C	WAF	89.66	True	Analysis_set	False
FP0123-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106568	FP0123-C	WAF	78.11	True	Analysis_set	False
FP0127-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106569	FP0127-C	WAF	87.4	True	Analysis_set	False
FP0128-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106570	FP0128-C	WAF	6.61	False	Less_than_50pc_callable	False
FP0129-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106571	FP0129-C	WAF	89.94	True	Analysis_set	False
FP0132-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106572	FP0132-C	WAF	72.29	True	Analysis_set	False
FP0133-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1099218	FP0133-C	WAF	0.01	False	Less_than_50pc_callable	False
FP0136-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106573	FP0136-C	WAF	56.97	True	Analysis_set	False
FP0139-C	1147-PF-MR-CONWAY	Nema	Mauritania	16.61437	-7.259889999999999	2014	ERR1106574	FP0139-C	WAF	0.03	False	Less_than_50pc_callable	False
PA0007-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018933	PA0007-C	WAF	77.37	True	Analysis_set	False
PA0008-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018936	PA0008-C	WAF	89.37	True	Analysis_set	False
PA0011-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015410	PA0011-C	WAF	89.55	True	Analysis_set	False
PA0012-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR021977	PA0012-C	WAF	88.55	True	Analysis_set	False
PA0013-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR211480	PA0013-C	WAF	89.71	True	Analysis_set	False
PA0014-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR216473	PA0014-C	WAF	86.96	True	Analysis_set	False
PA0015-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015429	PA0015-C	WAF	89.55	True	Analysis_set	False
PA0016-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015338	PA0016-C	WAF	89.93	True	Analysis_set	False
PA0017-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020112	PA0017-C	WAF	89.92	True	Analysis_set	False
PA0018-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015341	PA0018-C	WAF	89.72	True	Analysis_set	False
PA0020-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015390	PA0020-C	WAF	89.75	True	Analysis_set	False
PA0021-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015365	PA0021-C	WAF	90.21	True	Analysis_set	False
PA0022-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018937	PA0022-C	WAF	82.48	True	Analysis_set	False
PA0026-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023472	PA0026-C	WAF	73.31	True	Analysis_set	False
PA0027-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015403	PA0027-C	WAF	90.32	True	Analysis_set	False
PA0028-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR199979	PA0028-C	WAF	83.71	True	Analysis_set	False
PA0029-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015381	PA0029-C	WAF	89.94	True	Analysis_set	False
PA0030-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018941	PA0030-C	WAF	89.8	True	Analysis_set	False
PA0032-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020113	PA0032-C	WAF	89.56	True	Analysis_set	False
PA0034-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR021975	PA0034-C	WAF	88.63	True	Analysis_set	False
PA0035-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018904,ERR015361	PA0035-C	WAF	89.9	True	Analysis_set	False
PA0036-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015398	PA0036-C	WAF	89.71	True	Analysis_set	False
PA0037-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015439	PA0037-C	WAF	89.53	True	Analysis_set	False
PA0038-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018944	PA0038-C	WAF	89.49	True	Analysis_set	False
PA0039-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019539	PA0039-C	WAF	89.48	True	Analysis_set	False
PA0040-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018934	PA0040-C	WAF	88.29	True	Analysis_set	False
PA0041-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020108	PA0041-C	WAF	88.74	True	Analysis_set	False
PA0042-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020109	PA0042-C	WAF	89.05	True	Analysis_set	False
PA0044-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018946	PA0044-C	WAF	89.96	True	Analysis_set	False
PA0045-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018947	PA0045-C	WAF	89.71	True	Analysis_set	False
PA0046-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018948	PA0046-C	WAF	89.82	True	Analysis_set	False
PA0047-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023680	PA0047-C	WAF	82.93	True	Analysis_set	False
PA0049-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018929	PA0049-C	WAF	89.64	True	Analysis_set	False
PA0050-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018959	PA0050-C	WAF	89.75	True	Analysis_set	False
PA0051-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023470	PA0051-C	WAF	62.8	True	Analysis_set	False
PA0052-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018928	PA0052-C	WAF	89.49	True	Analysis_set	False
PA0053-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019540	PA0053-C	WAF	89.96	True	Analysis_set	False
PA0054-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023468	PA0054-C	WAF	56.29	True	Analysis_set	False
PA0056-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023465	PA0056-C	WAF	47.74	False	Less_than_50pc_callable	False
PA0057-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020116	PA0057-C	WAF	89.91	True	Analysis_set	False
