gene_id	gene_name	chrom	start	end	global_differentiation_score	local_differentiation_score	distance_to_higher_local_diff_score
PF3D7_0100100	VAR	Pf3D7_01_v3	29510	37126			
PF3D7_0100200	RIF	Pf3D7_01_v3	38982	40207			
PF3D7_0100300	VAR	Pf3D7_01_v3	42367	46507			
PF3D7_0100400	RIF	Pf3D7_01_v3	50363	51636			
PF3D7_0100600	RIF	Pf3D7_01_v3	53778	55006			
PF3D7_0100700	.	Pf3D7_01_v3	56690	56893			
PF3D7_0100800	RIF	Pf3D7_01_v3	59772	61003			
PF3D7_0100900	RIF	Pf3D7_01_v3	62187	63400			
PF3D7_0101000	RIF	Pf3D7_01_v3	65817	66989			
PF3D7_0101100	EPF4	Pf3D7_01_v3	69304	70417			
PF3D7_0101200	EPF3	Pf3D7_01_v3	71624	72426			
PF3D7_0101300	MC-2TM	Pf3D7_01_v3	74563	75366			
PF3D7_0101600	RIF	Pf3D7_01_v3	81765	83106			
PF3D7_0101800	.	Pf3D7_01_v3	87203	88177			
PF3D7_0101900	RIF	Pf3D7_01_v3	90242	91420			
PF3D7_0102200	RESA	Pf3D7_01_v3	98819	102282	0.4579665102019752	0.412392857252466	8468.0
PF3D7_0102300	.	Pf3D7_01_v3	104704	105209	0.2658974842200964	0.2927516150546734	2422.0
PF3D7_0102500	EBA181	Pf3D7_01_v3	110750	115799	0.6430977465444365	0.5411999134752188	165356.0
PF3D7_0102600	FIKK1	Pf3D7_01_v3	119041	121249	0.29446631606332063	0.3957976163247142	3242.0
PF3D7_0102700	MaTrA	Pf3D7_01_v3	124517	125484	0.39212315367687933	0.4372545633334952	834.0
PF3D7_0102800	.	Pf3D7_01_v3	126318	128141	0.3440605293760576	0.44554366502043774	6212.0
PF3D7_0102900	.	Pf3D7_01_v3	128960	130840	0.30975513713527697	0.3921284013904679	819.0
PF3D7_0103000	.	Pf3D7_01_v3	132086	133624	0.3038885727745446	0.3272959206515772	729.0
PF3D7_0103100	VPS51	Pf3D7_01_v3	134353	139257	0.3669443949263109	0.4532642253105265	8658.0
PF3D7_0103200	NT4	Pf3D7_01_v3	140662	142219	0.5896911833274994	0.4437106123584814	1405.0
PF3D7_0103300	.	Pf3D7_01_v3	143640	146396	0.4982833075865991	0.4509593700914976	1519.0
PF3D7_0103400	.	Pf3D7_01_v3	147915	152777	0.3798567440903824	0.5054160708803819	32116.0
PF3D7_0103500	.	Pf3D7_01_v3	154176	160426	0.3690653721276917	0.44554366502043774	705.0
PF3D7_0103600	.	Pf3D7_01_v3	161131	166229	0.4440242734203399	0.4960445753584065	8354.0
PF3D7_0103700	PSTK	Pf3D7_01_v3	166513	168687	0.3380085233477226	0.453777578569841	284.0
PF3D7_0103800	ARP1	Pf3D7_01_v3	169079	171273	0.1925703003620501	0.1591017264048168	392.0
PF3D7_0103900	PIESP15	Pf3D7_01_v3	172864	174591	0.3223256655184974	0.3450380576974117	1018.0
PF3D7_0104000	TRSP	Pf3D7_01_v3	175609	176376	0.2612511750887416	0.4151751410489237	1711.0
PF3D7_0104100	.	Pf3D7_01_v3	178087	180790	0.5623713224312564	0.4964240406421844	9479.0
PF3D7_0104200	.	Pf3D7_01_v3	182822	184222	0.30421810792612314	0.31178614680575256	2032.0
PF3D7_0104300	UBP1	Pf3D7_01_v3	190269	201230	0.5510183258881715	0.5289605428616533	74470.0
PF3D7_0104400	LytB	Pf3D7_01_v3	202536	204143	0.2620736643669166	0.35362947669460143	1306.0
PF3D7_0104500	.	Pf3D7_01_v3	204622	205455	0.3335748652876169	0.2312423500466213	479.0
PF3D7_0104600	.	Pf3D7_01_v3	206170	210189	0.4496568349220968	0.4502527879552083	4940.0
PF3D7_0104700	MFR2	Pf3D7_01_v3	210870	213005	0.4024989077089295	0.3400049682825116	681.0
PF3D7_0104800	NPT1	Pf3D7_01_v3	215776	217509	0.6940691775744611	0.2825998153252385	2771.0
PF3D7_0104900	.	Pf3D7_01_v3	218517	218824			
PF3D7_0105000	.	Pf3D7_01_v3	218894	219223			
PF3D7_0105100	.	Pf3D7_01_v3	221202	221633	0.23543444161817415	0.26381375849688593	621.0
PF3D7_0105200	.	Pf3D7_01_v3	222254	223960	0.2557181521199191	0.4176876084093247	12065.0
PF3D7_0105300	CAP	Pf3D7_01_v3	225110	225779	0.3442044643612979	0.2408634178837047	902.0
PF3D7_0105400	.	Pf3D7_01_v3	226681	227285	0.4951856160106295	0.25519768017517164	1200.0
PF3D7_0105500	.	Pf3D7_01_v3	228485	229519	0.3182593978357978	0.34088843753404985	770.0
PF3D7_0105600	.	Pf3D7_01_v3	230289	234402	0.4446199762018941	0.3870691059920791	4264.0
PF3D7_0105700	.	Pf3D7_01_v3	238666	247857	0.597933288797605	0.5211089152424141	33298.0
PF3D7_0105800	.	Pf3D7_01_v3	249231	252010	0.35630888630293833	0.39894960874546	1374.0
PF3D7_0105900	.	Pf3D7_01_v3	253584	254930	0.2472635140413635	0.3958678623428351	845.0
PF3D7_0106000	.	Pf3D7_01_v3	255775	258543	0.5036566182246256	0.4126536209805196	6665.0
PF3D7_0106100	.	Pf3D7_01_v3	260658	261809	0.3069351382781433	0.25380358426460536	1531.0
PF3D7_0106200	.	Pf3D7_01_v3	263340	264223	0.4257086160858688	0.3574085902254517	985.0
PF3D7_0106300	ATP6	Pf3D7_01_v3	265208	269173	0.4120629905303754	0.4939283065048479	5142.0
PF3D7_0106400	.	Pf3D7_01_v3	272454	273404	0.30784744813848564	0.27114291786509626	911.0
PF3D7_0106500	.	Pf3D7_01_v3	274315	278550	0.3890438402971025	0.506562115849307	2605.0
PF3D7_0106600	.	Pf3D7_01_v3	279115	280014	0.2915641208247701	0.3057519632907409	565.0
PF3D7_0106700	AARP2	Pf3D7_01_v3	281155	285459	0.4433072725200789	0.6537421776992128	
PF3D7_0106800	RAB5c	Pf3D7_01_v3	286951	288918	0.14524390389149688	0.16252799303920573	1468.0
PF3D7_0106900	IspD	Pf3D7_01_v3	290386	292590	0.3740418821578729	0.4557143170121952	4927.0
PF3D7_0107000	CEN1	Pf3D7_01_v3	293642	294968	0.015449383946985697	0.0013064475879762671	332.0
PF3D7_0107100	.	Pf3D7_01_v3	295300	296931	0.4261406149331061	0.3400049682825116	431.0
PF3D7_0107200	.	Pf3D7_01_v3	297362	299397	0.373810559013842	0.3477287745156753	165.0
PF3D7_0107300	.	Pf3D7_01_v3	299562	300868	0.4009624422929168	0.4734073928366245	14103.0
PF3D7_0107400	.	Pf3D7_01_v3	302937	303398	0.10985574737631776	0.13478332619176392	964.0
PF3D7_0107500	.	Pf3D7_01_v3	304362	309257	0.3988540888191143	0.4004998693766276	3494.0
PF3D7_0107600	.	Pf3D7_01_v3	314618	319405	0.3075488724114788	0.4195192876672794	2966.0
PF3D7_0107700	.	Pf3D7_01_v3	320168	321508	0.29427909609003466	0.3283279506131757	763.0
PF3D7_0107800	MRE11	Pf3D7_01_v3	322371	326072	0.4374959388392289	0.4263676948251143	11096.0
PF3D7_0107900	.	Pf3D7_01_v3	326397	327224	0.27751202887335946	0.319827469482754	325.0
PF3D7_0108000	.	Pf3D7_01_v3	328431	329558	0.21695240132318427	0.23117789028705704	1180.0
